ID;Nome;Sobrenome;Cidade;Estado;Data_Nascimento;Setor;Estado_Civil;Salario
657;Vernon;Clark;Olinda;Pernambuco;26/12/35;Financeiro;Solteiro;R$9,181
335;Bryar;Higgins;São José dos Pinhais;PR;15/01/10;Serviço ao Cliente;Casado;R$8,431
896;Isabelle;Townsend;Caxias do Sul;Rio Grande do Sul;26/03/17;Vendas;Viúvo;R$7,759
619;Leilani;Burke;Juazeiro do Norte;CE;10/07/88;Marketing;Solteiro;R$5,609
226;Yolanda;Albert;Caucaia;Ceará;01/01/70;Suporte Técnico;Divorciado;R$6,778
691;Jared;Shields;Juiz de Fora;Minas Gerais;06/07/85;Jurídico;Casado;R$8,668
653;Pearl;Lowery;Valparaíso de Goiás;GO;28/07/51;Vendas;Viúvo;R$6,168
266;Kiona;Lara;Ribeirão Preto;SP;05/04/65;Financeiro;Divorciado;R$9,339
546;Nehru;Sanford;Carapicuíba;São Paulo;18/10/31;Gerenciamento;Solteiro;R$6,933
494;Kelly;Thornton;Mauá;SP;10/04/19;Vendas;Casado;R$9,203
838;Kelsie;Beach;Parauapebas;PA;13/01/03;Vendas;Casado;R$9,870
199;Theodore;Baxter;Duque de Caxias;Rio de Janeiro;18/11/54;Jurídico;Solteiro;R$7,382
762;Griffin;Lindsay;Petrópolis;RJ;09/03/68;Gerenciamento;Solteiro;R$6,217
447;Charlotte;Cabrera;Sobral;Ceará;08/03/79;Serviço ao Cliente;Divorciado;R$9,338
130;Nicole;Gaines;Imperatriz;Maranhão;25/08/79;Financeiro;Divorciado;R$8,752
72;Erasmus;Dodson;Chapecó;SC;07/08/45;Serviço ao Cliente;Divorciado;R$6,534
88;Christopher;Estes;Osasco;SP;04/06/96;Financeiro;Casado;R$8,698
371;Madaline;Gonzalez;Maringá;PR;03/07/75;Pesquisa e Desenvolvimento;Divorciado;R$9,673
276;Drew;Walsh;São João de Meriti;Rio de Janeiro;24/05/30;Marketing;Solteiro;R$6,322
676;Amber;Hardy;Itajaí;SC;09/04/94;Pesquisa e Desenvolvimento;Solteiro;R$8,868
106;Chaney;Cobb;Santa Rita;Paraíba;20/12/41;Relações Públicas;Viúvo;R$7,966
223;Darius;Sellers;Sobral;Ceará;05/06/04;Suporte Técnico;Viúvo;R$7,044
527;Axel;Fulton;Caruaru;PE;14/02/88;Suporte Técnico;Divorciado;R$7,043
529;Graiden;Patel;Piracicaba;SP;01/07/75;Marketing;Divorciado;R$6,733
82;Ira;Brown;Joinville;Santa Catarina;03/10/49;Gerenciamento;Viúvo;R$9,406
879;Bevis;Glass;Juazeiro;BA;02/08/18;Marketing;Casado;R$8,657
730;Vielka;Mueller;Campinas;São Paulo;18/12/58;Pesquisa e Desenvolvimento;Solteiro;R$7,005
61;May;Stark;Juazeiro;Bahia;15/06/55;Financeiro;Viúvo;R$8,158
739;Mark;Kerr;Piracicaba;São Paulo;19/01/36;Serviço ao Cliente;Casado;R$5,450
459;Grant;Glenn;Santarém;Pará;17/06/68;Jurídico;Divorciado;R$7,286
808;Clark;Tucker;Mogi das Cruzes;São Paulo;20/03/77;Recursos Humanos;Casado;R$7,690
432;Hedy;Christian;Rio de Janeiro;RJ;28/02/12;Vendas;Solteiro;R$8,291
253;Wang;Peterson;Vitória da Conquista;BA;12/12/07;Relações Públicas;Divorciado;R$6,542
395;Uriah;Hendrix;Cajazeiras;PB;05/04/18;Gerenciamento;Casado;R$7,759
660;Harding;Vazquez;Timon;Maranhão;17/01/56;Serviço ao Cliente;Viúvo;R$5,100
382;Malcolm;Cooley;Divinópolis;MG;28/02/59;Serviço ao Cliente;Viúvo;R$9,997
296;Donovan;Potter;Barra do Corda;MA;27/05/19;Relações Públicas;Solteiro;R$6,271
216;Bernard;Hardin;Campinas;São Paulo;11/01/44;Pesquisa e Desenvolvimento;Solteiro;R$7,497
481;Dai;Tillman;Criciúma;SC;21/09/70;Gerenciamento;Solteiro;R$6,893
334;Drake;Carson;Campinas;SP;24/12/48;Financeiro;Viúvo;R$8,984
385;Rhonda;Cook;São Gonçalo;Rio de Janeiro;17/01/13;Vendas;Casado;R$8,884
538;Meghan;Frye;Mogi das Cruzes;SP;25/05/77;Relações Públicas;Viúvo;R$6,099
406;Vivian;Savage;Salvador;Bahia;20/03/36;Serviço ao Cliente;Casado;R$7,739
57;Hamish;Saunders;Mogi das Cruzes;SP;18/02/54;Pesquisa e Desenvolvimento;Solteiro;R$8,545
553;Ava;Gomez;Paulista;PE;06/05/59;Recursos Humanos;Viúvo;R$9,428
74;Leilani;Coffey;Santarém;Pará;06/03/84;Relações Públicas;Viúvo;R$8,941
260;Sage;Romero;Balsas;Maranhão;18/06/33;Financeiro;Divorciado;R$8,441
868;Erasmus;Mcconnell;Sete Lagoas;MG;22/05/54;Recursos Humanos;Divorciado;R$7,409
171;Caleb;Conway;Ribeirão das Neves;MG;06/11/32;Pesquisa e Desenvolvimento;Casado;R$5,385
779;Megan;Chandler;Guarulhos;SP;26/07/12;Recursos Humanos;Solteiro;R$7,073
835;Travis;Shaw;Juiz de Fora;MG;25/06/06;Marketing;Divorciado;R$9,290
688;Zephania;Powell;Anápolis;GO;15/11/50;Gerenciamento;Viúvo;R$9,329
13;Wyatt;Yates;Mogi das Cruzes;SP;21/04/09;Gerenciamento;Viúvo;R$7,736
578;Jared;Austin;Maracanaú;CE;06/06/52;Serviço ao Cliente;Viúvo;R$5,996
161;Abigail;Kane;Carapicuíba;São Paulo;25/12/43;Vendas;Solteiro;R$6,760
437;Jamal;Fitzgerald;Santa Maria;Rio Grande do Sul;26/04/60;Marketing;Divorciado;R$5,980
597;Marny;Mendoza;Piracicaba;SP;24/11/40;Recursos Humanos;Divorciado;R$8,274
684;Holmes;Kramer;Carapicuíba;SP;08/03/76;Gerenciamento;Viúvo;R$7,391
73;Denise;Whitehead;Carapicuíba;SP;08/11/06;Recursos Humanos;Divorciado;R$8,523
850;Pandora;Woodward;São Luís;Maranhão;23/07/90;Gerenciamento;Casado;R$9,077
715;Grant;Huff;Carapicuíba;São Paulo;26/08/05;Pesquisa e Desenvolvimento;Solteiro;R$5,908
985;Castor;Mays;Piracicaba;SP;30/07/80;Gerenciamento;Solteiro;R$7,759
995;Ezekiel;Walter;Blumenau;Santa Catarina;06/09/63;Marketing;Solteiro;R$8,682
517;Xyla;Page;Contagem;MG;30/05/38;Relações Públicas;Casado;R$7,435
328;Leo;Black;Ribeirão Preto;São Paulo;21/02/69;Jurídico;Divorciado;R$5,438
519;Barclay;Gibbs;Bacabal;MA;12/07/62;Jurídico;Divorciado;R$8,521
38;Abbot;Santos;Mauá;SP;21/08/58;Pesquisa e Desenvolvimento;Solteiro;R$5,292
75;Mercedes;Rose;Mauá;São Paulo;12/10/54;Gerenciamento;Viúvo;R$5,973
787;Haley;Chaney;Uberlândia;Minas Gerais;20/05/13;Financeiro;Solteiro;R$8,744
34;Halla;Perry;Osasco;São Paulo;12/05/78;Vendas;Viúvo;R$9,219
500;Jennifer;Alvarado;Contagem;Minas Gerais;21/03/37;Marketing;Casado;R$9,604
53;Yetta;Yates;Uberaba;MG;26/08/39;Jurídico;Casado;R$6,871
320;Carl;Hodges;Nova Iguaçu;RJ;05/09/82;Recursos Humanos;Divorciado;R$8,657
275;Leila;Schultz;Chapecó;Santa Catarina;25/08/52;Suporte Técnico;Casado;R$9,092
703;Cora;Spencer;Carapicuíba;SP;27/01/51;Financeiro;Solteiro;R$5,359
767;Remedios;Wise;Cametá;Pará;16/09/94;Vendas;Solteiro;R$6,921
751;Irene;Maynard;Ilhéus;Bahia;05/12/37;Serviço ao Cliente;Casado;R$6,496
210;Jessica;Clayton;Diadema;São Paulo;02/04/93;Pesquisa e Desenvolvimento;Casado;R$8,769
815;Avye;Farmer;Bacabal;Maranhão;31/01/56;Pesquisa e Desenvolvimento;Casado;R$7,097
998;Ivana;Conway;Guarulhos;São Paulo;04/11/34;Suporte Técnico;Solteiro;R$6,502
424;Keane;Zamora;Barra do Corda;MA;23/12/97;Vendas;Divorciado;R$6,983
248;Lael;Potter;Vitória da Conquista;Bahia;10/09/07;Serviço ao Cliente;Casado;R$7,650
321;Felicia;Walters;Rio Grande;RS;17/05/62;Vendas;Casado;R$9,555
539;Quin;Vega;Maringá;PR;05/03/44;Marketing;Solteiro;R$7,307
516;Ruby;Hernandez;Camaragibe;PE;19/12/79;Marketing;Divorciado;R$5,301
961;Forrest;Alston;Uberlândia;Minas Gerais;30/03/97;Pesquisa e Desenvolvimento;Casado;R$9,433
697;Fletcher;Drake;Sete Lagoas;MG;09/09/74;Relações Públicas;Solteiro;R$6,685
166;Anthony;Lowe;Osasco;SP;28/06/85;Gerenciamento;Viúvo;R$6,279
566;Ivor;Hobbs;Mogi das Cruzes;SP;25/02/31;Recursos Humanos;Divorciado;R$7,857
413;Yolanda;Mckee;Anápolis;Goiás;07/08/91;Relações Públicas;Viúvo;R$7,636
888;Brendan;Kirkland;Mogi das Cruzes;SP;21/12/80;Jurídico;Casado;R$7,025
135;Dalton;Hogan;Rio de Janeiro;Rio de Janeiro;04/02/33;Marketing;Divorciado;R$8,326
304;Felicia;Hall;Parauapebas;PA;28/10/31;Relações Públicas;Casado;R$5,038
788;Deacon;Leblanc;Jundiaí;SP;20/04/85;Vendas;Divorciado;R$8,209
330;Wade;Lancaster;Ponta Grossa;Paraná;16/10/83;Recursos Humanos;Solteiro;R$8,037
234;Emma;Simmons;Balsas;MA;27/08/59;Suporte Técnico;Divorciado;R$9,762
219;Hadassah;Ratliff;Ribeirão das Neves;MG;21/06/39;Jurídico;Casado;R$9,199
410;Vance;Hicks;São João de Meriti;Rio de Janeiro;01/09/30;Gerenciamento;Viúvo;R$5,113
323;Camden;Ewing;Canoas;Rio Grande do Sul;20/09/15;Recursos Humanos;Casado;R$9,787
931;Mikayla;Eaton;Belford Roxo;RJ;05/11/35;Recursos Humanos;Viúvo;R$5,800
775;Faith;Clements;Belo Horizonte;MG;07/09/78;Pesquisa e Desenvolvimento;Solteiro;R$6,505
629;Noble;Matthews;São José dos Pinhais;PR;19/01/65;Pesquisa e Desenvolvimento;Solteiro;R$6,361
863;Jasper;Hubbard;Maringá;PR;05/06/92;Vendas;Divorciado;R$6,956
498;Edward;Ingram;Governador Valadares;MG;18/02/41;Pesquisa e Desenvolvimento;Solteiro;R$7,332
811;Alyssa;Estrada;Feira de Santana;Bahia;01/02/34;Serviço ao Cliente;Viúvo;R$7,696
631;Graiden;Sawyer;Maranguape;CE;17/08/01;Recursos Humanos;Casado;R$9,681
273;Dakota;Lane;Mogi das Cruzes;São Paulo;21/11/49;Relações Públicas;Divorciado;R$9,111
96;Hashim;Griffith;Belford Roxo;RJ;24/10/07;Pesquisa e Desenvolvimento;Divorciado;R$5,707
720;Aphrodite;Singleton;Campinas;SP;13/05/35;Marketing;Divorciado;R$8,497
935;Hunter;Haynes;Guarapuava;PR;22/09/95;Jurídico;Solteiro;R$5,407
373;Adena;Shelton;Mauá;São Paulo;04/11/08;Relações Públicas;Viúvo;R$9,203
550;Rinah;Gaines;Ananindeua;PA;01/09/73;Marketing;Divorciado;R$7,702
165;Barry;Charles;Anápolis;GO;13/05/47;Gerenciamento;Solteiro;R$5,666
204;Jacqueline;Fisher;Bacabal;MA;09/08/82;Serviço ao Cliente;Solteiro;R$7,532
431;Igor;Pate;Ribeirão das Neves;Minas Gerais;12/03/34;Financeiro;Solteiro;R$7,142
113;Ursa;Nieves;Betim;MG;02/12/80;Suporte Técnico;Divorciado;R$7,127
470;Celeste;Bird;Jundiaí;SP;07/06/58;Pesquisa e Desenvolvimento;Casado;R$8,393
671;Zena;Underwood;Fortaleza;CE;30/04/54;Marketing;Solteiro;R$9,575
39;Shoshana;Suarez;Osasco;SP;24/12/59;Suporte Técnico;Divorciado;R$8,967
718;Kendall;Castaneda;Barra do Corda;Maranhão;30/05/51;Recursos Humanos;Viúvo;R$8,951
522;Darrel;Jimenez;Curitiba;Paraná;20/04/54;Marketing;Viúvo;R$8,636
862;Carter;Barrera;Paulista;Pernambuco;01/01/04;Relações Públicas;Divorciado;R$5,274
79;Paki;Mcmillan;Açailândia;MA;31/07/60;Financeiro;Casado;R$9,418
420;Karen;Watts;Recife;Pernambuco;31/12/46;Financeiro;Solteiro;R$6,894
540;Uriah;Conway;Bacabal;MA;09/02/35;Pesquisa e Desenvolvimento;Casado;R$6,328
396;Dorothy;Salazar;Jundiaí;SP;02/10/47;Marketing;Solteiro;R$7,634
286;Caleb;Bell;Guarapuava;Paraná;23/06/50;Gerenciamento;Viúvo;R$5,473
920;Cynthia;Robles;Feira de Santana;Bahia;18/10/51;Suporte Técnico;Casado;R$6,436
973;Bruce;Garza;Paulista;Pernambuco;13/11/44;Gerenciamento;Viúvo;R$8,875
131;Martha;Vargas;Cascavel;Paraná;24/04/02;Marketing;Divorciado;R$8,714
523;Kaye;Larsen;Montes Claros;MG;05/11/42;Gerenciamento;Viúvo;R$8,737
52;George;Whitley;Ribeirão Preto;São Paulo;15/11/95;Relações Públicas;Viúvo;R$9,460
218;Miriam;Fisher;Ponta Grossa;Paraná;01/02/76;Vendas;Viúvo;R$8,922
594;Clayton;Morton;Sete Lagoas;Minas Gerais;19/02/02;Suporte Técnico;Viúvo;R$7,799
680;Isabella;Anderson;Osasco;SP;19/10/03;Vendas;Viúvo;R$6,445
627;Ignacia;Santos;Vitória da Conquista;BA;23/06/62;Recursos Humanos;Solteiro;R$5,677
893;Samuel;Schroeder;Ribeirão Preto;São Paulo;07/08/18;Financeiro;Casado;R$5,894
67;Lacey;Gregory;Castanhal;Pará;20/08/56;Financeiro;Viúvo;R$7,400
963;Vaughan;Wall;Mogi das Cruzes;São Paulo;23/02/45;Recursos Humanos;Divorciado;R$8,671
943;Dalton;Howell;Campinas;SP;07/11/88;Gerenciamento;Solteiro;R$8,540
105;Daria;Mcclain;Niterói;RJ;28/11/60;Financeiro;Viúvo;R$5,515
