ED;ID;Data_Nascimento
1;657;26/12/35
2;335;15/01/10
3;896;26/03/17
4;619;10/07/88
5;226;01/01/70
6;691;06/07/85
7;653;28/07/51
8;266;05/04/65
9;546;18/10/31
10;494;10/04/19
11;838;13/01/03
12;199;18/11/54
13;762;09/03/68
14;447;08/03/79
15;130;25/08/79
16;72;07/08/45
17;88;04/06/96
18;371;03/07/75
19;276;24/05/30
20;676;09/04/94
21;106;20/12/41
22;223;05/06/04
23;527;14/02/88
24;529;01/07/75
25;82;03/10/49
26;879;02/08/18
27;730;18/12/58
28;61;15/06/55
29;739;19/01/36
30;459;17/06/68
31;808;20/03/77
32;432;28/02/12
33;253;12/12/07
34;395;05/04/18
35;660;17/01/56
36;382;28/02/59
37;296;27/05/19
38;216;11/01/44
39;481;21/09/70
40;334;24/12/48
41;385;17/01/13
42;538;25/05/77
43;406;20/03/36
44;57;18/02/54
45;553;06/05/59
46;74;06/03/84
47;260;18/06/33
48;868;22/05/54
49;171;06/11/32
50;779;26/07/12
51;835;25/06/06
52;688;15/11/50
53;13;21/04/09
54;578;06/06/52
55;161;25/12/43
56;437;26/04/60
57;597;24/11/40
58;684;08/03/76
59;73;08/11/06
60;850;23/07/90
61;715;26/08/05
62;985;30/07/80
63;995;06/09/63
64;517;30/05/38
65;328;21/02/69
66;519;12/07/62
67;38;21/08/58
68;75;12/10/54
69;787;20/05/13
70;34;12/05/78
71;500;21/03/37
72;53;26/08/39
73;320;05/09/82
74;275;25/08/52
75;703;27/01/51
76;767;16/09/94
77;751;05/12/37
78;210;02/04/93
79;815;31/01/56
80;998;04/11/34
81;424;23/12/97
82;248;10/09/07
83;321;17/05/62
84;539;05/03/44
85;516;19/12/79
86;961;30/03/97
87;697;09/09/74
88;166;28/06/85
89;566;25/02/31
90;413;07/08/91
91;888;21/12/80
92;135;04/02/33
93;304;28/10/31
94;788;20/04/85
95;330;16/10/83
96;234;27/08/59
97;219;21/06/39
98;410;01/09/30
99;323;20/09/15
100;931;05/11/35
101;775;07/09/78
102;629;19/01/65
103;863;05/06/92
104;498;18/02/41
105;811;01/02/34
106;631;17/08/01
107;273;21/11/49
108;96;24/10/07
109;720;13/05/35
110;935;22/09/95
111;373;04/11/08
112;550;01/09/73
113;165;13/05/47
114;204;09/08/82
115;431;12/03/34
116;113;02/12/80
117;470;07/06/58
118;671;30/04/54
119;39;24/12/59
120;718;30/05/51
121;522;20/04/54
122;862;01/01/04
123;79;31/07/60
124;420;31/12/46
125;540;09/02/35
126;396;02/10/47
127;286;23/06/50
128;920;18/10/51
129;973;13/11/44
130;131;24/04/02
131;523;05/11/42
132;52;15/11/95
133;218;01/02/76
134;594;19/02/02
135;680;19/10/03
136;627;23/06/62
137;893;07/08/18
138;67;20/08/56
139;963;23/02/45
140;943;07/11/88
141;105;28/11/60
142;584;25/05/61
143;890;08/05/59
144;658;03/06/58
145;748;08/12/77
146;746;01/09/02
147;442;12/05/58
148;71;03/12/17
149;156;02/08/79
150;388;12/11/81
151;678;21/12/48
152;249;29/05/84
153;723;11/01/66
154;885;17/05/85
155;633;11/08/61
156;327;26/02/44
157;557;17/09/07
158;947;09/11/76
159;380;07/06/05
160;230;06/05/35
161;460;06/09/17
162;872;09/06/71
163;237;29/07/57
164;830;30/01/07
165;996;02/02/54
166;428;20/03/90
167;398;19/05/32
168;814;29/04/54
169;143;15/04/30
170;593;07/05/37
171;647;14/10/88
172;856;26/01/42
173;755;28/09/98
174;625;02/08/69
175;183;27/01/13
176;851;02/04/41
177;812;29/07/75
178;793;27/04/02
179;329;15/06/36
180;967;20/10/03
181;717;24/08/68
182;43;01/11/87
183;173;08/07/61
184;366;12/06/72
185;456;14/02/82
186;80;16/08/88
187;378;17/12/37
188;934;09/08/87
189;847;01/04/37
190;820;22/06/01
191;950;28/04/45
192;350;19/09/34
193;252;16/06/48
194;461;30/06/69
195;724;14/08/71
196;383;20/11/42
197;777;10/08/05
198;294;14/06/51
199;664;05/08/05
200;167;05/08/57
201;891;01/01/84
202;355;11/03/65
203;722;11/05/75
204;63;10/11/44
205;645;21/09/86
206;240;05/07/15
207;145;30/09/13
208;110;12/02/18
209;778;11/04/04
210;816;13/07/05
211;512;24/03/73
212;18;13/08/62
213;818;13/08/86
214;169;04/11/72
215;582;16/08/78
216;505;25/12/02
217;318;10/05/31
218;672;07/01/58
219;577;03/01/31
220;85;13/11/83
221;259;01/01/42
222;565;10/09/99
223;921;09/06/63
224;649;20/02/32
225;673;10/02/30
226;774;09/10/63
227;555;14/06/87
228;27;15/06/89
229;689;07/08/75
230;742;02/08/41
231;910;05/11/05
232;238;13/03/10
233;66;29/10/99
234;381;06/05/03
235;97;01/02/90
236;423;01/11/81
237;700;08/12/11
238;443;03/01/83
239;148;10/05/96
240;601;05/12/38
241;852;16/07/91
242;221;03/10/73
243;477;04/12/08
244;958;07/08/66
245;436;19/02/92
246;209;07/02/34
247;197;21/07/83
248;719;22/08/83
249;357;09/08/49
250;771;14/12/72
251;430;15/08/01
252;448;31/08/41
253;956;28/02/58
254;29;07/11/64
255;666;15/06/31
256;351;30/04/53
257;798;14/11/93
258;445;25/04/67
259;76;28/01/62
260;819;24/04/39
261;750;13/09/52
262;422;01/12/53
263;769;27/08/62
264;832;18/08/03
265;579;16/07/87
266;104;18/04/83
267;911;22/10/03
268;638;10/09/52
269;740;08/03/72
270;927;10/10/97
271;213;12/06/07
272;745;28/04/65
273;7;08/08/92
274;807;07/06/01
275;646;30/06/83
276;139;12/02/56
277;40;21/04/31
278;426;28/10/67
279;475;01/11/78
280;875;15/05/69
281;545;25/11/99
282;49;12/04/16
283;292;25/09/43
284;37;23/04/11
285;407;26/06/62
286;696;30/03/57
287;287;02/04/36
288;490;30/09/46
289;926;10/10/66
290;621;10/04/07
291;325;29/12/80
292;509;24/10/44
293;636;28/08/65
294;857;02/02/62
295;172;23/06/93
296;84;04/12/48
297;864;18/10/17
298;983;31/07/75
299;533;14/11/84
300;44;20/09/49
301;157;22/06/92
302;375;26/04/66
303;650;01/07/75
304;56;24/08/51
305;279;02/04/94
306;794;29/01/48
307;747;19/01/59
308;758;07/08/58
309;712;26/09/04
310;3;12/01/52
311;364;15/07/92
312;331;16/12/64
313;425;28/06/68
314;278;18/08/75
315;91;15/10/38
316;924;19/11/88
317;370;27/02/06
318;656;17/12/77
319;544;26/05/48
320;635;31/08/51
321;200;05/10/99
322;865;18/07/79
323;608;07/09/30
324;595;22/05/35
325;994;08/02/88
326;391;08/01/30
327;854;06/05/50
328;620;29/07/33
329;725;18/03/36
330;493;01/09/47
331;297;13/08/36
332;799;08/11/44
333;948;25/12/68
334;147;08/05/79
335;800;17/03/35
336;518;14/09/11
337;272;17/08/08
338;384;11/07/93
339;345;21/09/89
340;379;26/06/62
341;610;22/09/77
342;178;05/10/18
343;118;24/09/06
344;206;16/06/77
345;123;24/10/80
346;897;20/07/73
347;785;30/09/68
348;403;16/01/30
349;770;21/04/99
350;941;23/04/42
351;212;04/05/13
352;175;17/04/55
353;930;07/12/32
354;126;31/08/15
355;117;14/06/57
356;392;21/06/73
357;760;29/12/31
358;446;13/01/67
359;681;02/07/97
360;245;08/11/41
361;108;10/05/59
362;946;26/02/77
363;525;27/12/89
364;412;21/09/62
365;634;26/07/66
366;690;01/01/12
367;89;08/07/98
368;152;19/02/96
369;829;26/08/85
370;574;08/03/59
371;389;07/07/72
372;969;16/07/81
373;848;13/04/16
374;669;04/02/78
375;913;17/03/35
376;609;24/03/49
377;587;18/01/98
378;662;04/12/10
379;502;21/08/75
380;953;24/10/11
381;280;23/05/82
382;987;09/01/74
383;919;24/02/70
384;871;23/07/84
385;957;13/09/10
386;743;24/01/69
387;338;16/04/37
388;506;10/07/05
389;309;02/05/19
390;160;22/09/91
391;305;04/05/37
392;102;23/09/17
393;353;30/05/35
394;189;05/02/49
395;616;26/08/70
396;904;06/08/02
397;605;21/03/84
398;62;04/02/47
399;734;05/08/51
400;205;07/11/45
401;109;23/09/49
402;654;05/09/62
403;707;21/01/00
404;974;13/06/07
405;741;08/08/36
406;908;25/04/70
407;247;18/12/85
408;243;18/06/18
409;878;24/06/66
410;841;26/04/32
411;881;20/05/74
412;981;04/08/35
413;233;30/12/65
414;344;19/08/92
415;427;19/12/05
416;348;08/05/95
417;670;24/08/87
418;255;13/06/46
419;269;16/02/13
420;510;22/04/02
421;24;09/01/30
422;363;04/11/92
423;487;06/03/58
424;81;04/07/87
425;962;18/11/13
426;705;08/08/00
427;942;12/06/12
428;877;23/11/31
429;421;28/03/16
430;324;30/08/03
431;874;30/12/57
432;285;30/07/91
433;915;12/10/62
434;368;22/07/73
435;632;12/12/89
436;251;24/04/67
437;263;08/03/43
438;709;19/12/39
439;907;25/02/66
440;925;15/02/44
441;141;22/03/75
442;912;04/09/99
443;313;03/03/80
444;170;17/08/60
445;277;21/03/34
446;306;17/09/43
447;132;17/11/89
448;842;02/06/62
449;749;08/08/47
450;622;21/02/34
451;932;12/01/96
452;367;20/05/96
453;168;12/07/84
454;122;05/03/44
455;361;16/06/02
456;484;21/11/07
457;528;20/06/65
458;964;19/12/66
459;12;04/10/92
460;695;03/01/94
461;534;07/10/91
462;340;14/08/12
463;17;28/01/94
464;144;02/12/85
465;232;06/02/40
466;898;29/07/17
467;706;23/03/93
468;711;07/08/04
469;738;08/11/01
470;914;13/11/72
471;895;26/11/57
472;917;31/05/36
473;541;20/05/48
474;236;24/05/08
475;887;14/06/77
476;809;25/11/51
477;343;14/10/67
478;151;25/12/80
479;499;26/07/83
480;866;02/05/45
481;19;01/05/62
482;918;10/01/93
483;454;06/01/08
484;655;30/07/65
485;433;26/06/95
486;583;16/06/74
487;440;09/04/39
488;415;17/02/95
489;203;24/03/46
490;231;04/06/59
491;473;09/02/73
492;336;09/08/57
493;710;13/02/04
494;873;01/11/81
495;51;03/09/33
496;699;24/04/39
497;365;02/11/13
498;10;02/12/46
499;736;12/12/53
500;844;16/03/31
501;290;23/09/49
502;612;05/09/62
503;455;21/01/00
504;618;13/06/07
505;752;08/08/36
506;250;25/04/70
507;551;18/12/85
508;668;18/06/18
509;843;24/06/66
510;417;26/04/32
511;701;20/05/74
512;486;04/08/35
513;358;30/12/65
514;813;19/08/92
515;588;19/12/05
516;77;08/05/95
517;405;24/08/87
518;435;13/06/46
519;119;16/02/13
520;457;22/04/02
521;630;09/01/30
522;733;04/11/92
523;532;06/03/58
524;600;04/07/87
525;970;18/11/13
526;295;08/08/00
527;474;12/06/12
528;978;23/11/31
529;572;28/03/16
530;155;30/08/03
531;92;30/12/57
532;982;30/07/91
533;312;12/10/62
534;692;22/07/73
535;651;12/12/89
536;531;24/04/67
537;149;08/03/43
538;311;19/12/39
539;708;25/02/66
540;713;15/02/44
541;497;22/03/75
542;661;04/09/99
543;58;03/03/80
544;386;17/08/60
545;47;21/03/34
546;193;17/09/43
547;495;17/11/89
548;825;02/06/62
549;869;08/08/47
550;883;21/02/34
551;21;12/01/96
552;207;20/05/96
553;615;12/07/84
554;598;05/03/44
555;480;16/06/02
556;270;21/11/07
557;184;20/06/65
558;754;19/12/66
559;15;04/10/92
560;889;03/01/94
561;35;07/10/91
562;784;14/08/12
563;845;28/01/94
564;33;02/12/85
565;591;06/02/40
566;177;29/07/17
567;944;23/03/93
568;602;07/08/04
569;611;08/11/01
570;626;13/11/72
571;83;26/11/57
572;314;31/05/36
573;858;20/05/48
574;468;24/05/08
575;478;14/06/77
576;163;25/11/51
577;781;14/10/67
578;543;25/12/80
579;789;26/07/83
580;693;02/05/45
581;846;01/05/62
582;702;10/01/93
583;796;06/01/08
584;849;30/07/65
585;521;26/06/95
586;537;16/06/74
587;988;09/04/39
588;346;17/02/95
589;833;24/03/46
590;586;04/06/59
591;307;09/02/73
592;217;09/08/57
593;603;13/02/04
594;536;01/11/81
595;416;03/09/33
596;824;24/04/39
597;482;02/11/13
598;542;02/12/46
599;685;12/12/53
600;535;16/03/31
601;356;15/09/67
602;387;11/01/31
603;682;19/07/00
604;419;27/10/75
605;23;10/01/79
606;726;07/06/46
607;513;15/07/07
608;986;10/09/67
609;202;16/03/53
610;714;10/08/06
611;258;16/01/14
612;675;11/01/61
613;677;18/03/39
614;607;10/10/91
615;735;30/04/18
616;20;05/08/17
617;127;29/01/92
618;54;19/01/80
619;999;15/03/84
620;977;12/09/74
621;254;24/02/89
622;805;11/07/04
623;507;15/07/85
624;520;03/05/50
625;524;04/03/58
626;496;18/02/78
627;60;06/01/80
628;46;28/08/64
629;698;07/09/70
630;737;20/03/81
631;16;23/05/76
632;548;13/12/54
633;614;28/04/09
634;949;09/10/81
635;136;05/04/59
636;659;29/04/39
637;115;16/02/16
638;765;08/06/35
639;112;05/10/71
640;491;11/03/36
641;667;24/08/59
642;140;20/10/73
643;975;05/05/38
644;884;20/06/78
645;492;04/11/01
646;976;18/11/88
647;303;01/04/88
648;198;04/10/06
649;120;04/11/30
650;289;11/01/57
651;301;06/09/60
652;683;15/02/47
653;936;28/11/58
654;55;24/08/72
655;744;16/04/80
656;208;27/10/90
657;892;11/06/54
658;59;25/01/97
659;438;20/11/47
660;902;07/10/66
661;98;15/03/47
662;116;18/07/55
663;836;18/07/93
664;766;15/06/85
665;471;21/07/82
666;196;07/05/93
667;114;05/09/50
668;560;30/10/98
669;940;29/12/01
670;322;26/11/58
671;663;19/05/82
672;28;16/02/13
673;153;21/07/75
674;488;06/12/78
675;129;04/01/47
