ID;Nome;Sobrenome;Cidade;Estado;Data_Nascimento;Setor;Estado_Civil;Salario;Prox.Nome;Prox.Sobrenome;Prox.Cidade;Prox.Estado;Prox.Data_Nascimento;Prox.Setor;Prox.Estado_Civil;Prox.Salario
1;Erich;Matthews;Caxias do Sul;Rio Grande do Sul;21/01/15;Jurídico;Solteiro;R$5,765;0;0;0;974;0;966;962;0
2;Leslie;Mccray;Ribeirão das Neves;MG;03/10/92;Vendas;Divorciado;R$9,636;0;0;965;879;0;872;868;0
3;Macey;Dennis;Barra do Corda;Maranhão;12/01/52;Pesquisa e Desenvolvimento;Viúvo;R$5,300;0;0;393;319;0;320;312;816
4;Abdul;Warren;Nova Iguaçu;RJ;02/06/67;Gerenciamento;Casado;R$7,724;0;0;999;0;0;997;994;0
5;Shay;Morse;Mauá;São Paulo;26/09/89;Pesquisa e Desenvolvimento;Viúvo;R$6,882;954;0;911;809;0;863;809;0
6;Octavius;Conrad;Sete Lagoas;MG;01/11/88;Vendas;Casado;R$5,099;0;0;939;943;0;923;915;0
7;Zahir;Mercer;Itabuna;Bahia;08/08/92;Financeiro;Casado;R$8,442;433;945;421;275;0;278;281;0
8;Evelyn;Mckenzie;São Gonçalo;Rio de Janeiro;16/07/12;Marketing;Divorciado;R$8,560;0;0;852;852;0;869;848;0
9;Martha;Kaufman;Ribeirão Preto;SP;10/01/60;Marketing;Divorciado;R$6,386;0;0;905;911;0;894;893;0
10;Renee;Whitney;Rio Grande;RS;02/12/46;Pesquisa e Desenvolvimento;Solteiro;R$6,270;598;598;598;509;598;508;499;598
11;Martha;Cooley;Diadema;SP;10/12/47;Financeiro;Viúvo;R$9,986;890;0;823;707;0;716;703;0
12;Fitzgerald;Strong;Carapicuíba;SP;04/10/92;Serviço ao Cliente;Casado;R$5,334;559;559;503;468;559;463;465;559
13;Wyatt;Yates;Mogi das Cruzes;SP;21/04/09;Gerenciamento;Viúvo;R$7,736;0;72;89;57;0;58;54;0
14;Molly;Higgins;Blumenau;Santa Catarina;07/06/48;Jurídico;Viúvo;R$8,970;0;0;967;934;0;921;874;0
15;Fitzgerald;Strong;Carapicuíba;SP;04/10/92;Serviço ao Cliente;Casado;R$5,334;772;994;605;568;0;563;565;0
16;Hedy;Boyd;Paulista;PE;23/05/76;Vendas;Divorciado;R$6,606;937;779;923;634;0;678;632;0
17;Galvin;Hunter;Jaboatão dos Guararapes;Pernambuco;28/01/94;Serviço ao Cliente;Divorciado;R$9,985;563;563;563;504;563;469;470;563
18;Minerva;Larsen;Campinas;SP;13/08/62;Gerenciamento;Solteiro;R$5,885;0;0;222;219;0;222;216;0
19;Thor;Rodriguez;Petrópolis;RJ;01/05/62;Marketing;Viúvo;R$8,867;581;581;499;516;581;484;482;581
20;Felicia;Medina;Itabuna;Bahia;05/08/17;Financeiro;Viúvo;R$9,959;0;0;863;653;0;633;624;0
21;Keane;Casey;Castanhal;Pará;12/01/96;Jurídico;Casado;R$6,192;0;765;678;629;0;572;553;0
22;Anika;Graham;Campos dos Goytacazes;RJ;21/12/55;Financeiro;Viúvo;R$9,422;0;930;730;751;0;702;699;0
